"ORD_A","ORD_F","archInterp","funcInterp","count","arch_total","arch_pct","func_total","func_pct","PairIndex","count_LC","arch_pct_LC","func_pct_LC","PairIndex_LC"
24,53,"casa humilde","no plausible alternative to the pirmary interpretation",18,2358,0.00763358778625954,13644,0.00131926121372032,0.00895284899997986,5,0.00816993464052288,0.00145772594752187,0.00962766058804474
4,85,"access-way (alley, street, avenue, etc.)","other",1,228,0.0043859649122807,220,0.00454545454545455,0.00893141945773525,NA,NA,NA,NA
161,123,"room group","primary interpretation is the best assessment of a very ambiguous situation",15,2458,0.00610252237591538,5305,0.00282752120640905,0.00893004358232443,5,0.0574712643678161,0.00425531914893617,0.0617265835167523
148,156,"probably not occupied or utilized in this period","residential workshop",2,6729,0.000297220983801456,244,0.00819672131147541,0.00849394229527687,NA,NA,NA,NA
188,95,"temple base (incl. platforms & multi-tiered platforms)","platform of probable religious significance",3,614,0.00488599348534202,879,0.00341296928327645,0.00829896276861847,1,0.00393700787401575,0.00371747211895911,0.00765447999297486
142,144,"probably not occupied or utilized in this period","residence of uncertain status",14,6729,0.00208054688661019,2533,0.00552704303197789,0.00760758991858809,2,0.00268456375838926,0.0140845070422535,0.0167690708006428
123,145,"primary interpretation is the best assessment of a very ambiguous situation","residence of uncertain status",11,4655,0.00236305048335124,2533,0.00434267666798263,0.00670572715133386,3,0.00294406280667321,0.0211267605633803,0.0240708233700535
126,104,"primary interpretation is the best assessment of a very ambiguous situation","plaza",6,4655,0.00128893662728249,1139,0.00526777875329236,0.00655671538057485,2,0.00196270853778214,0.00495049504950495,0.00691320358728709
165,167,"room group","temple platform",3,2458,0.00122050447518308,586,0.00511945392491468,0.00633995840009775,1,0.0114942528735632,0.00432900432900433,0.0158232572025675
177,147,"simple platform","residence of uncertain status",3,623,0.00481540930979133,2533,0.00118436636399526,0.00599977567378659,NA,NA,NA,NA
163,39,"room group","low status residential, no obvious occupational specialization",7,2458,0.00284784377542718,2287,0.00306077831219939,0.00590862208762656,NA,NA,NA,NA
195,99,NA,"platform of probable religious significance",1,214,0.00467289719626168,879,0.00113765642775882,0.0058105536240205,NA,NA,NA,NA
